ID	NOC	Games	City	Year	Sport	Event	Medal
4	DEN	1900 Summer	Paris	1900	Tug-Of-War	Tug-Of-War Men's Tug-Of-War	Gold
15	FIN	1920 Summer	Antwerpen	1920	Swimming	Swimming Men's 200 metres Breaststroke	Bronze
15	FIN	1920 Summer	Antwerpen	1920	Swimming	Swimming Men's 400 metres Breaststroke	Bronze
17	FIN	1948 Summer	London	1948	Gymnastics	Gymnastics Men's Individual All-Around	Bronze
17	FIN	1948 Summer	London	1948	Gymnastics	Gymnastics Men's Team All-Around	Gold
17	FIN	1948 Summer	London	1948	Gymnastics	Gymnastics Men's Horse Vault	Gold
17	FIN	1948 Summer	London	1948	Gymnastics	Gymnastics Men's Pommelled Horse	Gold
17	FIN	1952 Summer	Helsinki	1952	Gymnastics	Gymnastics Men's Team All-Around	Bronze
21	NOR	2008 Summer	Beijing	2008	Handball	Handball Women's Handball	Gold
25	NOR	1920 Summer	Antwerpen	1920	Gymnastics	Gymnastics Men's Team All-Around, Free System	Silver
29	NED	1988 Summer	Seoul	1988	Hockey	Hockey Women's Hockey	Bronze
30	NED	1996 Summer	Atlanta	1996	Rowing	Rowing Men's Lightweight Double Sculls	Silver
37	NOR	1996 Summer	Atlanta	1996	Football	Football Women's Football	Bronze
38	NOR	1920 Summer	Antwerpen	1920	Gymnastics	Gymnastics Men's Team All-Around, Free System	Silver
42	NOR	1912 Summer	Stockholm	1912	Sailing	Sailing Mixed 8 metres	Gold
56	FRA	1956 Summer	Melbourne	1956	Cycling	Cycling Men's Road Race, Team	Gold
62	ITA	2016 Summer	Rio de Janeiro	2016	Rowing	Rowing Men's Coxless Pairs	Bronze
63	ESP	2008 Summer	Beijing	2008	Fencing	Fencing Men's epee, Individual	Bronze
65	AZE	2016 Summer	Rio de Janeiro	2016	Taekwondo	Taekwondo Women's Flyweight	Bronze
67	RUS	2008 Summer	Beijing	2008	Athletics	Athletics Women's Javelin Throw	Silver
72	BLR	2008 Summer	Beijing	2008	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold
73	FRA	2008 Summer	Beijing	2008	Handball	Handball Men's Handball	Gold
73	FRA	2012 Summer	London	2012	Handball	Handball Men's Handball	Gold
73	FRA	2016 Summer	Rio de Janeiro	2016	Handball	Handball Men's Handball	Silver
76	CMR	2000 Summer	Sydney	2000	Football	Football Men's Football	Gold
80	ESP	1996 Summer	Atlanta	1996	Water Polo	Water Polo Men's Water Polo	Gold
84	USA	2004 Summer	Athina	2004	Wrestling	Wrestling Men's Featherweight, Freestyle	Silver
85	ESP	1980 Summer	Moskva	1980	Sailing	Sailing Mixed Two Person Heavyweight Dinghy	Gold
86	ESP	1984 Summer	Los Angeles	1984	Athletics	Athletics Men's 1,500 metres	Bronze
90	RUS	2004 Summer	Athina	2004	Cycling	Cycling Women's Sprint	Silver
