ID,medRT_train,medRT_diff,offline_all
FF168_2,0.0262,-0.0042,0.4375
BL185,0.082,0.07385,0.791666667
KOR161,0.1785,0.2344,0.354166667
FF164,0.3883,0.3418,0.729166667
KOR163,0.3594,0.36615,0.541666667
KOR177,-0.0414,-0.0407,0.625
FF143,0.192,0.175,0.729166667
FF210,0.4635,0.38445,0.666666667
KOR176,-0.029,0.1375,0.8125
BL213,-0.00725,0.00415,0.5625
FF269,0.0208,0.05455,0.458333333
BL199,0.0395,0.01625,0.5625
FF133,0.2506,0.2333,0.6875
FF136,0.4252,0.373375,0.645833333
FF127,0.004,0.012,0.520833333
FF158,0.0267,0.0147,0.416666667
FF159,0.3237,0.30085,0.645833333
FF208,0.3084,0.55505,0.583333333
KOR180,0.038,,
BL176,0.05835,0.024875,0.5
BL164,0.0843,-0.0417,0.4375
BL178,0.043,0.1265,0.458333333
BL172,0.0221,-0.02785,0.520833333
FF148,0.4153,0.4244,0.5625
FF157,0.012,0.0545,0.604166667
FF151,0.4453,0.48185,0.479166667
FF167,0.1375,0.1591,0.541666667
FF166,0.2997,0.284125,0.729166667
FF156,-0.0302,0.002225,0.5
FF999,0.229,0.246,0.791666667
FF204,0.4517,0.4467,0.625
BL198,0.1263,0.124975,0.541666667
BL189,0.18435,0.271275,0.625
BL183,0.1359,0.34935,0.6875
BL169,0.2804,0.24405,0.625
FF139,0.0646,0.2434,0.625
FF120,0.362,0.43335,0.770833333
FF132,-0.0488,-0.01595,0.354166667
KOR167,0.034,0.0015,
RRF3A,-0.0402,0.31125,0.854166667
FF145,-0.0012,0.01445,0.479166667
FF155,0.3094,0.33675,0.5625
FF137,0.0416,-0.00905,0.520833333
KOR174,-0.0025,0.00125,0.729166667
KOR179,0.0227,0.0349,0.4375
BL188,-0.0169,0.015,0.583333333
KOR184,-0.00675,0.110375,0.729166667
KOR173,0.222,0.3545,0.666666667
BL177,-0.0597,-0.007575,0.583333333
FF122,0.1253,0.23435,0.458333333
FF141,0.239,0.41895,0.520833333
FF129,0.50745,0.4569,0.666666667
FF162,-0.0692,0.00225,0.604166667
160,0.502,0.58525,0.541666667
FF121,-0.0547,-0.0158,0.5625
FF201,0.13855,0.2542,0.875
FF256,0.0645,,
FF217,0.14815,0.52445,0.958333333
KOR171,0.171,0.1529,0.645833333
BL184,0.0468,0.070525,0.5625
KOR181,0.2893,0.31025,0.645833333
KOR182,0.0105,0.00725,0.416666667
BL191,0.3808,0.44105,0.666666667
KOR162,-0.0497,0.067025,0.395833333
FF149,0.25205,0.21855,0.479166667
FF125,0.185,0.30675,0.604166667
FF135,0.3474,0.4005,0.666666667
FF163,0.39385,0.465475,0.583333333
FF138,0.2865,0.34465,0.729166667
FF124,-0.1849,-0.0648,0.520833333
FF171,0.3489,0.4494,0.708333333
FF279,0.3664,0.295,0.729166667
KOR170,0.2033,0.17925,0.854166667
